PlotID,Species2,Species4,DBH.cm,LiveDead,Vigor,Canopy,BBD,PlotArea.ha,Sample.Class,Watershed,Year,ElevB,HGT.cm,PV.cm3,ABOVE,WOOD,BRDW,BARK,CTLGR,RTDRY,DEADWD,OLDNDLS
3,BF,ABBA,8.5,1,0,NA,NA,0.009993281,Tree,W5,2014,H,501.9032884,14240.25539,1.181877268,0.713615689,0.109082349,0.111640265,0.021446599,0.325555209,0.153694296,0.121817787
3,RS,PIRU,7.9,1,0,NA,NA,0.009993281,Tree,W6,2014,H,563.5249797,13811.06726,1.150515927,0.695016841,0.105408959,0.108850749,0.021042159,0.316052411,0.150285352,0.11920601
3,BF,ABBA,9.9,1,0,NA,NA,0.009993281,Tree,W7,2014,H,578.4049577,22261.90277,1.750245535,1.04933697,0.17987096,0.161535808,0.02831881,0.501723118,0.213245406,0.167161355
3,BF,ABBA,8.4,1,0,NA,NA,0.009993281,Tree,W8,2014,H,496.3772787,13754.04217,1.14634021,0.692539747,0.104921901,0.108478993,0.020988067,0.314789095,0.149830301,0.11885722
3,BF,ABBA,10.2,1,0,NA,NA,0.009993281,Tree,W9,2014,H,594.590589,24292.83835,1.889816327,1.131447858,0.198336599,0.173628126,0.029899424,0.545968563,0.227336735,0.177823248
3,BF,ABBA,13,1,0,NA,NA,0.009993281,Tree,W10,2014,H,742.2018135,49257.07303,3.517249415,2.082340138,0.437559402,0.311500399,0.046413449,1.082283963,0.381657208,0.293361843
5,BF,ABBA,12.7,1,0,NA,NA,0.009993281,Tree,W11,2014,H,726.6806823,46026.81708,3.313719411,1.963953505,0.40556751,0.294510783,0.044495697,1.013504179,0.363147394,0.279602646
5,BF,ABBA,9.4,1,0,NA,NA,0.009993281,Tree,W12,2014,H,551.2668266,19128.34745,1.531790217,0.920576111,0.151779074,0.142492226,0.025768406,0.433197666,0.19080529,0.150132693
5,BF,ABBA,12.9,1,0,NA,NA,0.009993281,Tree,W13,2014,H,737.0358472,48164.59552,3.448601704,2.042424226,0.426710807,0.305776714,0.045770335,1.059039164,0.375434505,0.288738788
5,RM,ACRU,9.6,1,0,NA,NA,0.009993281,Tree,W14,2014,H,995.7333227,36036.73142,3.235475012,2.26489043,0.693797945,0.299901839,0.095554425,0.770975962,0.099026655,0
5,BF,ABBA,10.2,1,0,NA,NA,0.009993281,Tree,W15,2014,H,594.590589,24292.83835,1.889816327,1.131447858,0.198336599,0.173628126,0.029899424,0.545968563,0.227336735,0.177823248
5,MM,ACSP,8.7,1,0,NA,NA,0.009993281,Tree,W16,2014,H,821.5904437,24420.45605,1.956328346,1.58646543,0.456895412,0.210334366,0.112897786,0.669350001,0.072437481,0
5,BF,ABBA,10.1,1,0,NA,NA,0.009993281,Tree,W17,2014,H,589.2034542,23603.03865,1.842576335,1.103668766,0.192043329,0.169541396,0.029368383,0.530954544,0.222587286,0.174232244
5,BF,ABBA,10.1,1,0,NA,NA,0.009993281,Tree,W18,2014,H,589.2034542,23603.03865,1.842576335,1.103668766,0.192043329,0.169541396,0.029368383,0.530954544,0.222587286,0.174232244
5,BF,ABBA,11.9,1,0,NA,NA,0.009993281,Tree,W19,2014,H,684.9485509,38090.06903,2.805943792,1.668005459,0.328134799,0.2518453,0.039553168,0.843829836,0.316108594,0.244526878
5,BF,ABBA,13,1,0,NA,NA,0.009993281,Tree,W20,2014,H,742.2018135,49257.07303,3.517249415,2.082340138,0.437559402,0.311500399,0.046413449,1.082283963,0.381657208,0.293361843
5,BF,ABBA,14.6,1,0,NA,NA,0.009993281,Tree,W21,2014,H,823.8139957,68959.60467,4.72736412,2.783884107,0.637683956,0.411419357,0.057220288,1.498975896,0.488398581,0.372299392
5,RS,PIRU,8.5,1,0,NA,NA,0.009993281,Tree,W22,2014,H,599.6501843,17013.58004,1.381924575,0.832053654,0.133124096,0.129335877,0.023957066,0.386750988,0.175104545,0.138178373
5,BF,ABBA,11.7,1,0,NA,NA,0.009993281,Tree,W23,2014,H,674.4371824,36255.43453,2.686820504,1.59844244,0.310495012,0.241772587,0.038356956,0.804455054,0.304875958,0.236125798
5,BF,ABBA,9.1,1,0,NA,NA,0.009993281,Tree,W24,2014,H,534.8861652,17394.18302,1.40905567,0.848091736,0.136462051,0.131723654,0.024289079,0.39512318,0.177967088,0.140360476
5,BF,ABBA,11.8,1,0,NA,NA,0.009993281,Tree,W25,2014,H,679.696801,37165.42695,2.745995625,1.63300504,0.319231487,0.246779488,0.038953075,0.823993009,0.310465939,0.240307921
5,RM,ACRU,12.2,1,0,NA,NA,0.009993281,Tree,W26,2014,H,1162.52907,67949.0468,5.964066583,4.04627524,1.370634674,0.534680905,0.158758788,1.347892854,0.164843962,0
