sp_size_abv,model_abv,b1_abv,b2_abv,b3_abv
ABBA,M1,0.9873418975698891,1.993701866090429,0.7839374677985574
ACRU_S,M2,154.80565899969613,2.326288336214172,NA
ACRU_L,M1,0.7658582719555446,2.1429379828663127,0.7871433644061254
ACSA_S,M1,0.6910642048405059,1.6688918057603743,0.9740950772331002
ACSA_L,M2,148.49673937284902,2.4100523479735205,NA
BEAL_S,M1,0.5655510843492758,1.8686984596912866,0.986372485
BEAL_L,M2,137.1546773005045,2.4152512478659576,NA
BEPA_S,M2,146.04369736818063,2.345093955709633,NA
BEPA_L,M2,84.76873421855812,2.6040474367752653,NA
FAGR_S,M2,235.40294272623402,2.152550164312819,NA
FAGR_L,M1,0.048792888166696954,1.9558085897015511,1.2647587308767427
PRPE,M2,273.9242328902173,2.0648319416684076,NA
POGR,M1,3.2051655217342305,2.179588725711089,0.5568998433026455
POTR_S,M2,78.59512134369717,2.546853241081208,NA
POTR_L,M1,1.8547322982694936,2.149119465938907,0.6528953311850924
ACPE,M2,120.41173093279441,2.4036492861122642,NA
FRAM,M1,4032638.6605936205,2.4040314556556504,-1.381785747
FRNI,M1,1.0269064817803353,1.940958157173725,0.8154998387956243
PIRU,M1,0.955832205,1.8987739380720368,0.8516584883901847
PIST,M1,1.3793401225012265,2.1142945921038003,0.6794216075267492
QURU,M2,161.74740036787622,2.364161453799862,NA
TSCA,M2,81.19014857592023,2.428853129266801,NA
