species,lifeform,spp_hgt,a,b,c,d,e,eqn
FAGR,Tree,FAGR,19.30767189,0.047587024,-0.010790081,0,NA,s
POGR,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
PRSE,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
ABBA,Tree,ABBA,42.43839279,0.016708655,0.802001854,-0.011641748,NA,cr
FRNI,Tree,FRXX,21.96148696,0.030464981,-0.002612152,0,NA,s
TSCA,Tree,TSCA,89.05718768,0.004292079,-0.010056927,0,NA,s
BEPO,Tree,BEXX,15.04772137,0.115871431,-0.013366005,0,NA,s
AMSP,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
SOAM,Tree,SOAM,-8.19332757,0.060796835,0.021607193,0,NA,lm
BECO,Tree,BEXX,15.04772137,0.115871431,-0.013366005,0,NA,s
ACSP,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
BEPA,Tree,BEXX,15.04772137,0.115871431,-0.013366005,0,NA,s
PRPE,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
POTR,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
ACRU,Tree,ACRU,25.0296299,0.067374053,-0.017171989,0,NA,s
PIRU,Tree,PIRU,38.04978488,0.047166139,1.331848725,-0.015407762,NA,cr
ACSA,Tree,ACSA,44.35067423,0.021125871,0.507047032,-0.023289112,NA,cr
ACPE,Tree,ACPE,20.76269793,0.357764973,11.37783742,-0.010643694,NA,cr
UNKN,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
FRAM,Tree,FRXX,21.96148696,0.030464981,-0.002612152,0,NA,s
BEAL,Tree,BEAL,30.85446515,0.083137918,1.528352451,-0.013081864,NA,cr
SAPU,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
PRVI,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
COAL,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
TIAM,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
QURU,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
PIST,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
OSVI,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
WISP,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
PRSP,Tree,OTXX,18.57899622,0.304291884,30.37569324,0.013399239,NA,cr
FAGR,Sapling,FAGR,1.669066187,0.807960364,0,0,0,lm0
POGR,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
PRSE,Sapling,LATE,153.1736972,0.001778783,0.636515848,-13.67516337,-3.075791785,cr1
ABBA,Sapling,ABBA,-1.935960989,0.806517963,0,0,0,lm0
FRNI,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
TSCA,Sapling,PIRU,-0.568309153,0.732069576,0,0,0,lm0
BEPO,Sapling,BEPA,0.951015626,0.952953291,0,0,0,lm0
AMSP,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
SOAM,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
BECO,Sapling,BEPA,0.951015626,0.952953291,0,0,0,lm0
ACSP,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
BEPA,Sapling,BEPA,0.951015626,0.952953291,0,0,0,lm0
PRPE,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
POTR,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
ACRU,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
PIRU,Sapling,PIRU,-0.568309153,0.732069576,0,0,0,lm0
ACSA,Sapling,ACSA,182.7815354,0.004351922,0.836430328,-26.90911207,-4.791898862,cr1
ACPE,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
UNKN,Sapling,LATE,153.1736972,0.001778783,0.636515848,-13.67516337,-3.075791785,cr1
FRAM,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
BEAL,Sapling,BEAL,9.995079898,0.205885672,-0.987954824,0.635925974,0,s1
SAPU,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
PRVI,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
COAL,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
TIAM,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
QURU,Sapling,LATE,153.1736972,0.001778783,0.636515848,-13.67516337,-3.075791785,cr1
PIST,Sapling,PIRU,-0.568309153,0.732069576,0,0,0,lm0
OSVI,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
WISP,Sapling,MID,0.951015626,0.952953291,0,0,0,lm0
PRSP,Sapling,ACPE,12.11590457,0.183366977,1.038499914,0,0,cr0
