sp_size_lf,model_lf,b1_lf,b2_lf,b3_lf
ABBA,M1,76976.86537225916,3.26394408,-1.591352282
ACPE,M2,20.383481497550438,1.6308661518173662,NA
ACRU_S,M1,1896271.7350656148,2.724684492358724,-1.923041554
ACRU_L,M2,11.350058028579047,1.9324906453965507,NA
ACSA_S,M2,36.06401550066366,1.486332593564643,NA
ACSA_L,M2,10.807266926389842,1.9929088550018252,NA
BEAL_S,M2,30.217129873813292,1.5544851107812439,NA
BEAL_L,M2,11.611323978636642,1.9633547183098898,NA
BEPA,M2,29.46326594772165,1.6782372532076903,NA
FAGR_S,M2,45.29526403,1.2636279937404797,NA
FAGR_L,M2,18.28656508929053,1.7424021718884928,NA
FRAM,M2,37.22883057370794,1.5550368179853387,NA
FRNI,M2,4.493744947539985,2.2079209511815545,NA
PIRU,M1,3.355514915012961e-5,1.0409161779383473,2.214656518980148
PIST,M2,0.6140798351297897,2.687245837761028,NA
POGR,M1,78392.00792207516,2.5913090444624927,-1.497050211
POTR_S,M2,7.610763719644554,2.1726398413150916,NA
POTR_L,M1,6910.956020289204,2.6625203137654054,-1.19802784
PRPE,M2,8.503861929296598,1.966751207091359,NA
QURU,M1,12110.504399621463,2.0613224662923066,-0.96758304
TSCA,M2,29.435205852507114,1.8271548765842247,NA
